Isolate Name,Accession Code,Population,Year of Isolation,Serotype,Vaccine Type,ST,SequenceCluster,
SMRU2860,ERR067867,Maela,2010,14,VT,63,3,
SMRU2840,ERR067895,Maela,2010,14,VT,2108,3,
SMRU2848,ERR067903,Maela,2010,14,VT,2108,3,
SMRU2849,ERR067904,Maela,2010,14,VT,63,3,
SMRU2916,ERR067947,Maela,2010,14,VT,2108,3,
SMRU2757,ERR069607,Maela,2010,14,VT,63,3,
SMRU2758,ERR069608,Maela,2010,14,VT,2108,3,
SMRU2769,ERR069619,Maela,2010,14,VT,2108,3,
SMRU2784,ERR069634,Maela,2010,14,VT,63,3,
SMRU3027,ERR072176,Maela,2010,14,VT,2108,3,
SMRU3028,ERR072177,Maela,2010,14,VT,2108,3,
SMRU3031,ERR072180,Maela,2010,14,VT,2108,3,
SMRU3043,ERR072192,Maela,2010,14,VT,2108,3,
SMRU3078,ERR072227,Maela,2010,14,VT,2108,3,
SMRU3079,ERR072228,Maela,2010,14,VT,2108,3,
SMRU3089,ERR072238,Maela,2010,14,VT,2108,3,
SMRU3090,ERR072239,Maela,2010,14,VT,2108,3,
SMRU2976,ERR084202,Maela,2010,14,VT,2108,3,
SMRU2980,ERR084206,Maela,2010,14,VT,2108,3,
SMRU2986,ERR084212,Maela,2010,14,VT,2108,3,
SMRU2989,ERR084215,Maela,2010,14,VT,SLV2108,3,
SMRU2994,ERR084220,Maela,2010,14,VT,2108,3,
SMRU3000,ERR084226,Maela,2010,14,VT,63,3,
SMRU3023,ERR084249,Maela,2010,14,VT,2108,3,
SMRU2255,ERR084273,Maela,2009,14,VT,2108,3,
SMRU3121,ERR084275,Maela,2010,14,VT,2108,3,
SMRU3132,ERR084286,Maela,2010,14,VT,2108,3,
SMRU3110,ERR084312,Maela,2010,14,VT,63,3,
SMRU3117,ERR084319,Maela,2010,14,VT,2108,3,
SMRU331,ERR048056,Maela,2008,9V,VT,156,5,
SMRU521,ERR048198,Maela,2008,9V,VT,156,5,
SMRU238,ERR049957,Maela,2008,9V,VT,156,5,
SMRU615,ERR051449,Maela,2008,9V,VT,156,5,
SMRU616,ERR051450,Maela,2008,9V,VT,156,5,
SMRU1214,ERR054307,Maela,2009,9V,VT,156,5,
SMRU2155,ERR063948,Maela,2009,9V,VT,156,5,
SMRU2418,ERR064156,Maela,2010,9V,VT,156,5,
SMRU2650,ERR066185,Maela,2010,9V,VT,156,5,
SMRU2738,ERR069588,Maela,2010,9V,VT,156,5,
SMRU1017,ERR273536,Maela,2008,9V,VT,156,5,
SMRU1032,ERR273551,Maela,2008,9V,VT,156,5,
SMRU30,ERR039589,Maela,2007,23A,NVT,338,6,
SMRU48,ERR039607,Maela,2008,23A,NVT,2218,6,
SMRU137,ERR047934,Maela,2008,23A,NVT,338,6,
SMRU267,ERR047944,Maela,2008,23F,VT,2218,6,
SMRU275,ERR047952,Maela,2008,23A,NVT,338,6,
SMRU320,ERR048045,Maela,2008,23A,NVT,338,6,
SMRU359,ERR048084,Maela,2008,23A,NVT,338,6,
SMRU436,ERR048113,Maela,2008,23A,NVT,SLV172,6,
SMRU447,ERR048124,Maela,2008,23F,VT,2218,6,
SMRU525,ERR048202,Maela,2008,23A,NVT,338,6,
SMRU192,ERR049126,Maela,2008,23A,NVT,2218,6,
SMRU226,ERR049945,Maela,2008,23A,NVT,338,6,
SMRU198,ERR050061,Maela,2008,23A,NVT,338,6,
SMRU590,ERR051424,Maela,2008,23A,NVT,338,6,
SMRU619,ERR051453,Maela,2008,23A,NVT,338,6,
SMRU660,ERR051470,Maela,2008,23F,VT,2218,6,
SMRU682,ERR051492,Maela,2008,23A,NVT,2572,6,
SMRU736,ERR051546,Maela,2008,23F,VT,2218,6,
SMRU566,ERR052639,Maela,2008,23F,VT,172,6,
SMRU568,ERR052641,Maela,2008,23F,VT,172,6,
SMRU1411,ERR054288,Maela,2009,23F,VT,172,6,
SMRU1215,ERR054308,Maela,2009,23F,VT,172,6,
SMRU1482,ERR054431,Maela,2009,23F,VT,172,6,
SMRU1547,ERR054495,Maela,2009,23F,VT,172,6,
SMRU785,ERR054525,Maela,2008,23F,VT,172,6,
SMRU1129,ERR054581,Maela,2009,23A,NVT,338,6,
SMRU1163,ERR054615,Maela,2009,23A,NVT,2572,6,
SMRU840,ERR056706,Maela,2008,23A,NVT,338,6,
SMRU1861,ERR057842,Maela,2009,23F,VT,2218,6,
SMRU1926,ERR057907,Maela,2009,23F,VT,172,6,
SMRU1933,ERR057914,Maela,2009,23F,VT,2218,6,
SMRU1645,ERR059969,Maela,2009,23F,VT,172,6,
SMRU2079,ERR063872,Maela,2009,23F,VT,172,6,
SMRU2202,ERR063995,Maela,2009,23A,NVT,338,6,
SMRU2677,ERR064079,Maela,2010,24F,NVT,SLV6981,6,
SMRU2449,ERR064187,Maela,2010,23A,NVT,338,6,
SMRU2284,ERR066251,Maela,2010,23F,VT,172,6,
SMRU2304,ERR066271,Maela,2010,23A,NVT,338,6,
SMRU2313,ERR066280,Maela,2010,23A,NVT,2572,6,
SMRU2330,ERR066297,Maela,2010,23F,VT,172,6,
SMRU2390,ERR066357,Maela,2010,23F,VT,172,6,
SMRU2582,ERR067805,Maela,2010,23F,VT,172,6,
SMRU2862,ERR067869,Maela,2010,23F,VT,172,6,
SMRU2748,ERR069598,Maela,2010,23F,VT,172,6,
SMRU2776,ERR069626,Maela,2010,23F,VT,172,6,
SMRU3053,ERR072202,Maela,2010,23A,NVT,338,6,
SMRU2967,ERR084193,Maela,2010,23A,NVT,2572,6,
SMRU2974,ERR084200,Maela,2010,23F,VT,172,6,
SMRU2251,ERR084269,Maela,2009,23A,NVT,338,6,
SMRU546,ERR273497,Maela,2008,23F,VT,2218,6,
SMRU643,ERR273522,Maela,2008,23F,VT,2218,6,
SMRU1026,ERR273545,Maela,2008,23A,NVT,338,6,
SMRU55,ERR039614,Maela,2008,NT,NVT,448,12,
SMRU56,ERR039615,Maela,2008,NT,NVT,448,12,
SMRU301,ERR047978,Maela,2008,NT,NVT,448,12,
SMRU397,ERR048026,Maela,2008,NT,NVT,448,12,
SMRU344,ERR048069,Maela,2008,NT,NVT,448,12,
SMRU358,ERR048083,Maela,2008,NT,NVT,448,12,
SMRU476,ERR048153,Maela,2008,NT,NVT,448,12,
SMRU150,ERR049084,Maela,2008,NT,NVT,6691,12,
SMRU182,ERR049116,Maela,2008,NT,NVT,448,12,
SMRU220,ERR049939,Maela,2008,NT,NVT,448,12,
SMRU221,ERR049940,Maela,2008,NT,NVT,448,12,
SMRU913,ERR049984,Maela,2008,NT,NVT,448,12,
SMRU943,ERR050014,Maela,2008,NT,NVT,448,12,
SMRU952,ERR050023,Maela,2008,NT,NVT,448,12,
SMRU594,ERR051428,Maela,2008,NT,NVT,448,12,
SMRU762,ERR052619,Maela,2008,NT,NVT,448,12,
SMRU1469,ERR054418,Maela,2009,NT,NVT,448,12,
SMRU1488,ERR054437,Maela,2009,NT,NVT,448,12,
SMRU1511,ERR054459,Maela,2009,NT,NVT,448,12,
SMRU1519,ERR054467,Maela,2009,NT,NVT,448,12,
SMRU805,ERR054545,Maela,2008,NT,NVT,448,12,
SMRU886,ERR054578,Maela,2008,NT,NVT,448,12,
SMRU1168,ERR054620,Maela,2009,NT,NVT,448,12,
SMRU858,ERR056724,Maela,2008,NT,NVT,448,12,
SMRU1448,ERR056786,Maela,2009,NT,NVT,448,12,
SMRU1686,ERR056832,Maela,2009,NT,NVT,448,12,
SMRU1599,ERR057797,Maela,2009,NT,NVT,448,12,
SMRU1930,ERR057911,Maela,2009,NT,NVT,448,12,
SMRU1649,ERR059973,Maela,2009,NT,NVT,448,12,
SMRU1332,ERR060040,Maela,2009,NT,NVT,6729,12,
SMRU1778,ERR063787,Maela,2009,NT,NVT,448,12,
SMRU2029,ERR063822,Maela,2009,NT,NVT,SLV448,12,
SMRU2032,ERR063825,Maela,2009,NT,NVT,448,12,
SMRU2098,ERR063891,Maela,2009,NT,NVT,448,12,
SMRU2171,ERR063964,Maela,2009,NT,NVT,448,12,
SMRU2424,ERR064162,Maela,2010,NT,NVT,448,12,
SMRU2322,ERR066289,Maela,2010,NT,NVT,448,12,
SMRU2393,ERR066360,Maela,2010,NT,NVT,448,12,
SMRU2899,ERR067930,Maela,2010,NT,NVT,SLV448,12,
SMRU2737,ERR069587,Maela,2010,NT,NVT,448,12,
SMRU2739,ERR069589,Maela,2010,NT,NVT,448,12,
SMRU2762,ERR069612,Maela,2010,NT,NVT,448,12,
SMRU2825,ERR069675,Maela,2010,NT,NVT,SLV448,12,
SMRU3074,ERR072223,Maela,2010,NT,NVT,SLV448,12,
SMRU1020,ERR273539,Maela,2008,NT,NVT,448,12,
SMRU651,ERR051461,Maela,2008,6A,VT,4401,13,
SMRU74,ERR039633,Maela,2008,19F,VT,1583,15,
SMRU88,ERR039647,Maela,2008,19F,VT,4414,15,
SMRU95,ERR039654,Maela,2008,19F,VT,4414,15,
SMRU103,ERR047900,Maela,2008,19F,VT,4414,15,
SMRU131,ERR047928,Maela,2008,19F,VT,236,15,
SMRU363,ERR047992,Maela,2008,19F,VT,4414,15,
SMRU366,ERR047995,Maela,2008,19F,VT,236,15,
SMRU382,ERR048011,Maela,2008,19F,VT,4414,15,
SMRU398,ERR048027,Maela,2008,19F,VT,4414,15,
SMRU484,ERR048161,Maela,2008,19F,VT,4414,15,
SMRU494,ERR048171,Maela,2008,19F,VT,236,15,
SMRU163,ERR049097,Maela,2008,19F,VT,4414,15,
SMRU235,ERR049954,Maela,2008,19F,VT,236,15,
SMRU889,ERR049960,Maela,2008,19F,VT,4414,15,
SMRU893,ERR049964,Maela,2008,19F,VT,4414,15,
SMRU909,ERR049980,Maela,2008,19F,VT,4414,15,
SMRU910,ERR049981,Maela,2008,19F,VT,4414,15,
SMRU911,ERR049982,Maela,2008,19F,VT,4414,15,
SMRU912,ERR049983,Maela,2008,19F,VT,4414,15,
SMRU919,ERR049990,Maela,2008,19F,VT,4414,15,
SMRU923,ERR049994,Maela,2008,19F,VT,236,15,
SMRU925,ERR049996,Maela,2008,19F,VT,236,15,
SMRU927,ERR049998,Maela,2008,19F,VT,4414,15,
SMRU929,ERR050000,Maela,2008,19F,VT,4414,15,
SMRU930,ERR050001,Maela,2008,19F,VT,4414,15,
SMRU934,ERR050005,Maela,2008,19F,VT,4414,15,
SMRU936,ERR050007,Maela,2008,19F,VT,1583,15,
SMRU949,ERR050020,Maela,2008,19F,VT,4414,15,
SMRU953,ERR050024,Maela,2008,19F,VT,4414,15,
SMRU961,ERR050032,Maela,2008,19F,VT,4414,15,
SMRU969,ERR050040,Maela,2008,19F,VT,4414,15,
SMRU977,ERR050048,Maela,2008,19F,VT,4414,15,
SMRU978,ERR050049,Maela,2008,19F,VT,4414,15,
SMRU982,ERR050053,Maela,2008,19F,VT,4414,15,
SMRU984,ERR050055,Maela,2008,19F,VT,236,15,
SMRU194,ERR050057,Maela,2008,19F,VT,4414,15,
SMRU582,ERR051416,Maela,2008,19F,VT,4414,15,
SMRU601,ERR051435,Maela,2008,19F,VT,4414,15,
SMRU665,ERR051475,Maela,2008,19F,VT,4414,15,
SMRU666,ERR051476,Maela,2008,19F,VT,4414,15,
SMRU673,ERR051483,Maela,2008,19F,VT,4414,15,
SMRU683,ERR051493,Maela,2008,19F,VT,4414,15,
SMRU704,ERR051514,Maela,2008,19F,VT,4414,15,
SMRU705,ERR051515,Maela,2008,19F,VT,4414,15,
SMRU714,ERR051524,Maela,2008,19F,VT,4414,15,
SMRU731,ERR051541,Maela,2008,19F,VT,4414,15,
SMRU739,ERR051549,Maela,2008,19F,VT,4414,15,
SMRU743,ERR051553,Maela,2008,19F,VT,4414,15,
SMRU985,ERR051555,Maela,2008,19F,VT,4414,15,
SMRU986,ERR051556,Maela,2008,19F,VT,4414,15,
SMRU992,ERR051562,Maela,2008,19F,VT,4414,15,
SMRU999,ERR051569,Maela,2008,19F,VT,5114,15,
SMRU1035,ERR051581,Maela,2008,19F,VT,4414,15,
SMRU1038,ERR051584,Maela,2008,19F,VT,4414,15,
SMRU1039,ERR051585,Maela,2008,19F,VT,4414,15,
SMRU1046,ERR051592,Maela,2008,19F,VT,4414,15,
SMRU1051,ERR051597,Maela,2008,19F,VT,4414,15,
SMRU1056,ERR051602,Maela,2008,19F,VT,4414,15,
SMRU1060,ERR051606,Maela,2008,19F,VT,236,15,
SMRU1061,ERR051607,Maela,2008,19F,VT,4414,15,
SMRU1064,ERR051610,Maela,2008,19F,VT,236,15,
SMRU1074,ERR051620,Maela,2008,19F,VT,5114,15,
SMRU1080,ERR051626,Maela,2008,19F,VT,236,15,
SMRU1083,ERR051629,Maela,2008,19F,VT,4414,15,
SMRU1089,ERR051635,Maela,2008,19F,VT,4414,15,
SMRU1095,ERR051641,Maela,2008,19F,VT,SLV4414,15,
SMRU1101,ERR051647,Maela,2008,19F,VT,4414,15,
SMRU1123,ERR051669,Maela,2009,19F,VT,236,15,
SMRU259,ERR052596,Maela,2008,19F,VT,4414,15,
SMRU260,ERR052597,Maela,2008,19F,VT,4414,15,
SMRU753,ERR052610,Maela,2008,19F,VT,236,15,
SMRU757,ERR052614,Maela,2008,19F,VT,4414,15,
SMRU760,ERR052617,Maela,2008,19F,VT,4414,15,
SMRU576,ERR052649,Maela,2008,19F,VT,236,15,
SMRU1357,ERR054234,Maela,2009,19F,VT,4414,15,
SMRU1364,ERR054241,Maela,2009,19F,VT,4414,15,
SMRU1369,ERR054246,Maela,2009,19F,VT,4414,15,
SMRU1372,ERR054249,Maela,2009,19F,VT,4414,15,
SMRU1374,ERR054251,Maela,2009,19F,VT,4414,15,
SMRU1388,ERR054265,Maela,2009,19F,VT,4414,15,
SMRU1401,ERR054278,Maela,2009,19F,VT,4414,15,
SMRU1403,ERR054280,Maela,2009,19F,VT,4414,15,
SMRU1408,ERR054285,Maela,2009,19F,VT,236,15,
SMRU1225,ERR054318,Maela,2009,19F,VT,4414,15,
SMRU1230,ERR054323,Maela,2009,19F,VT,4414,15,
SMRU1258,ERR054351,Maela,2009,19F,VT,4414,15,
SMRU1262,ERR054355,Maela,2009,19F,VT,4414,15,
SMRU1264,ERR054357,Maela,2009,19F,VT,4414,15,
SMRU1272,ERR054365,Maela,2009,19F,VT,4414,15,
SMRU1281,ERR054374,Maela,2009,19F,VT,236,15,
SMRU1282,ERR054375,Maela,2009,19F,VT,236,15,
SMRU1284,ERR054377,Maela,2009,19F,VT,236,15,
SMRU1285,ERR054378,Maela,2009,19F,VT,4414,15,
SMRU1294,ERR054387,Maela,2009,19F,VT,236,15,
SMRU1296,ERR054389,Maela,2009,19F,VT,4414,15,
SMRU1304,ERR054397,Maela,2009,19F,VT,4414,15,
SMRU1305,ERR054398,Maela,2009,19F,VT,4414,15,
SMRU1310,ERR054403,Maela,2009,19F,VT,4414,15,
SMRU1318,ERR054411,Maela,2009,19F,VT,4414,15,
SMRU1472,ERR054421,Maela,2009,19F,VT,4414,15,
SMRU1481,ERR054430,Maela,2009,19F,VT,4414,15,
SMRU1492,ERR054441,Maela,2009,19F,VT,236,15,
SMRU1497,ERR054445,Maela,2009,19F,VT,236,15,
SMRU1506,ERR054454,Maela,2009,19F,VT,4414,15,
SMRU1513,ERR054461,Maela,2008,19F,VT,4414,15,
SMRU1515,ERR054463,Maela,2009,19F,VT,4414,15,
SMRU1516,ERR054464,Maela,2009,19F,VT,4414,15,
SMRU1518,ERR054466,Maela,2009,19F,VT,4414,15,
SMRU1536,ERR054484,Maela,2009,19F,VT,4414,15,
SMRU1543,ERR054491,Maela,2009,19F,VT,4414,15,
SMRU790,ERR054530,Maela,2008,19F,VT,4414,15,
SMRU803,ERR054543,Maela,2008,19F,VT,4414,15,
SMRU873,ERR054565,Maela,2008,19F,VT,4414,15,
SMRU887,ERR054579,Maela,2008,19F,VT,4414,15,
SMRU1132,ERR054584,Maela,2009,19F,VT,4414,15,
SMRU1136,ERR054588,Maela,2009,19F,VT,4414,15,
SMRU1150,ERR054602,Maela,2009,19F,VT,4414,15,
SMRU1151,ERR054603,Maela,2009,19F,VT,SLV4414,15,
SMRU1196,ERR054647,Maela,2009,19F,VT,4414,15,
SMRU1198,ERR054649,Maela,2009,19F,VT,4414,15,
SMRU819,ERR056685,Maela,2008,19F,VT,4414,15,
SMRU826,ERR056692,Maela,2008,19F,VT,4414,15,
SMRU829,ERR056695,Maela,2008,19F,VT,4414,15,
SMRU838,ERR056704,Maela,2008,19F,VT,4414,15,
