SANGER SAMPLE ID,SANGER PLATE ID,WELL,SUPPLIER SAMPLE NAME,COHORT,VOLUME (ul),CONC. (ng/ul),GENDER,COUNTRY OF ORIGIN,GEOGRAPHICAL REGION,ETHNICITY,DNA SOURCE,DATE OF SAMPLE COLLECTION (MM/YY or YYYY only),DATE OF DNA EXTRACTION (MM/YY or YYYY only),DNA EXTRACTION METHOD,SAMPLE PURIFIED?,PURIFICATION METHOD,CONCENTRATION DETERMINED BY,DNA STORAGE CONDITIONS,MOTHER (optional),FATHER (optional),SIBLING (optional),GC CONTENT,PUBLIC NAME,TAXON ID,COMMON NAME,SAMPLE DESCRIPTION,STRAIN,SAMPLE TYPE,SAMPLE ACCESSION NUMBER (optional),DONOR ID (required for EGA),PHENOTYPE (required for EGA),V33,Study ID,Lane Name,Cycles,Reads,Bases,Map Type,Reference,Reference Size,Mapper,Mapstats ID,Mapped %,Paired %,Mean Insert Size,Depth of Coverage,Depth of Coverage sd,Adapter %,Transposon %,Genome Covered,Duplication Rate,Error Rate,NPG QC,Manual QC,No. Het SNPs,% Het SNPs (Total Genome),% Het SNPs (Genome Covered),% Het SNPs (Total No. of SNPs),QC Pipeline,Mapping Pipeline,Archiving Pipeline,SNP Calling Pipeline,RNASeq Pipeline,Assembly Pipeline,Annotation Pipeline,percent_pneumo
pneuDEEP7562172,DN531997O,E3,08B08985,,97.5,66.4,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08985,NA,NA,5000,27425_7#32,151,4713282,711705582,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2266750,86.1,85.5,478.7,275.94,137.62,0.1,NA,88.62,8e-04,0.012,pass,pending,185,0.01,0.01,1.81,Done,-,Done,-,-,Done,Done,91.63
pneuDEEP7562173,DN531997O,F3,09B02201,,97.5,108.6,Not Applicable,Thailand,Maela,Not applicable,NA,2009,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,09B02201,NA,NA,5000,27425_7#34,151,4133074,624094174,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2266753,87.5,86.6,479.1,245.82,123.3,0.1,NA,86.75,9e-04,0.012,pass,pending,297,0.01,0.02,2.97,Done,-,Done,-,-,Done,Done,94.29
pneuDEEP7562174,DN531997O,G3,09B04457,,97.5,190.4,Not Applicable,Thailand,Maela,Not applicable,NA,2009,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,09B04457,NA,NA,5000,27425_7#36,151,5285472,798106272,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2266756,87.5,86.8,412.5,314.23,218.19,0.4,NA,86.35,0.0011,0.01,pass,pending,206,0.01,0.01,2.19,Done,-,Done,-,-,Done,Done,93.87
pneuDEEP7562175,DN531997O,H3,09B08207,,97.5,35.9,Not Applicable,Thailand,Maela,Not applicable,NA,2009,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,09B08207,NA,NA,5000,27425_7#38,151,4505554,680338654,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2266759,75.2,74.4,493.2,230.28,116.7,0.1,NA,89.48,0.001,0.012,pass,pending,216,0.01,0.01,2.14,Done,-,Done,-,-,Done,Done,83.31
pneuDEEP7562176,DN531997O,A4,08B06342,,97.5,89.1,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B06342,NA,NA,5000,27425_7#40,151,5140166,776165066,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2266762,86.2,85.4,502.4,301.35,163.24,0.1,NA,87.73,0.001,0.012,pass,pending,235,0.01,0.01,2.33,Done,-,Done,-,-,Done,Done,93.01
pneuDEEP7562177,DN531997O,B4,08B09608,,97.5,9.6,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B09608,NA,NA,5000,27425_7#42,151,4964302,749609602,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2266765,83.3,82.6,461.2,281.12,124.46,0.1,NA,89.51,7e-04,0.011,pass,pending,181,0.01,0.01,1.77,Done,-,Done,-,-,Done,Done,90.12
pneuDEEP7562179,DN531997O,D4,08B05313,,97.5,58.1,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B05313,NA,NA,5000,27425_7#44,151,4750582,717337882,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2266768,77.2,76.6,495.4,249.34,110.95,0.1,NA,93.45,8e-04,0.012,pass,pending,4072,0.18,0.2,36.21,Done,-,Done,-,-,Done,Done,82.61
pneuDEEP7562180,DN531997O,E4,08B09272,,97.5,85.5,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B09272,NA,NA,5000,27425_7#46,151,4853350,732855850,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2266771,87.2,86.5,488.3,287.56,133.7,0.1,NA,88.72,7e-04,0.012,pass,pending,192,0.01,0.01,1.91,Done,-,Done,-,-,Done,Done,92.83
pneuDEEP7562181,DN531997O,F4,09B02811,,97.5,47.9,Not Applicable,Thailand,Maela,Not applicable,NA,2009,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,09B02811,NA,NA,5000,27425_7#48,151,4435806,669806706,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2266774,84.6,83.8,476.4,254.94,138.18,0.1,NA,86.41,9e-04,0.013,pass,pending,144,0.01,0.01,1.41,Done,-,Done,-,-,Done,Done,89.48
pneuDEEP7562182,DN531997O,G4,09B04620,,97.5,122.4,Not Applicable,Thailand,Maela,Not applicable,NA,2009,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,09B04620,NA,NA,5000,27425_7#50,151,4744626,716438526,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2266777,72.6,71.7,481.4,233.8,137.9,0.2,NA,83.49,9e-04,0.015,pass,pending,149,0.01,0.01,1.36,Done,-,Done,-,-,Done,Done,77.17
pneuDEEP7562183,DN531997O,H4,09B08314,,97.5,107,Not Applicable,Thailand,Maela,Not applicable,NA,2009,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,09B08314,NA,NA,5000,27425_7#52,151,4396650,663894150,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2266780,84.2,83.4,495.4,251.58,154.14,0.1,NA,90.83,0.0012,0.012,pass,pending,1794,0.08,0.09,16.77,Done,-,Done,-,-,Done,Done,91.15
pneuDEEP7562184,DN531997O,A5,08B08945,,97.5,4.7,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B08945,NA,NA,5000,27425_7#54,151,3976562,600460862,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2266783,83.4,82.6,487.3,225.3,148.02,0.1,NA,87.1,0.0011,0.012,pass,pending,222,0.01,0.01,2.27,Done,-,Done,-,-,Done,Done,91.27
pneuDEEP7562185,DN531997O,B5,09B08941,,97.5,85.7,Not Applicable,Thailand,Maela,Not applicable,NA,2009,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,09B08941,NA,NA,5000,27425_7#56,151,5052964,762997564,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2266786,82,81.2,496.9,281.75,206.29,0.1,NA,86.92,0.0011,0.012,pass,pending,177,0.01,0.01,1.81,Done,-,Done,-,-,Done,Done,91.54
pneuDEEP7562187,DN531997O,D5,08B05478,,97.5,219.6,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B05478,NA,NA,5000,27425_7#58,151,4779314,721676414,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2266789,79.3,78.7,436.3,257.67,127.19,0.1,NA,88.85,7e-04,0.011,pass,pending,207,0.01,0.01,2.11,Done,-,Done,-,-,Done,Done,91.53
pneuDEEP7562189,DN531997O,F5,09B02816,,97.5,156.8,Not Applicable,Thailand,Maela,Not applicable,NA,2009,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,09B02816,NA,NA,5000,27644_5#36,151,4811622,726554922,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2340661,85.7,85,450.9,280.42,197.54,0.1,NA,86.52,0.0013,0.012,pass,pending,198,0.01,0.01,2.07,Done,-,Done,-,-,Done,Done,95.34
pneuDEEP7562191,DN531997O,H5,09B08357,,97.5,58.5,Not Applicable,Thailand,Maela,Not applicable,NA,2009,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,09B08357,NA,NA,5000,27425_7#64,151,4662594,704051694,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2266798,75.3,74.6,474.8,238.56,119.7,0.1,NA,92.53,7e-04,0.012,pass,pending,10500,0.47,0.52,68.04,Done,-,Done,-,-,Done,Done,82.81
pneuDEEP7562192,DN531997O,A6,08B06921,,97.5,202.6,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B06921,NA,NA,5000,27644_5#38,151,4355746,657717646,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2340664,85.8,85,480.8,253.92,173.88,0.1,NA,86.54,0.0014,0.013,pass,pending,185,0.01,0.01,1.93,Done,-,Done,-,-,Done,Done,94.92
pneuDEEP7562193,DN531997O,B6,10B00242,,97.5,63.4,Not Applicable,Thailand,Maela,Not applicable,NA,2010,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,10B00242,NA,NA,5000,27425_7#66,151,5491048,829148248,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2266801,86.5,85.7,469.5,322.64,225.92,0.1,NA,86.51,0.0011,0.011,pass,pending,183,0.01,0.01,1.86,Done,-,Done,-,-,Done,Done,95.43
pneuDEEP7562194,DN531997O,C6,08B01622,,97.5,205.4,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B01622,NA,NA,5000,27644_5#40,151,4203094,634667194,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2340667,75.3,74.6,499.9,214.98,98.7,0.1,NA,88.78,8e-04,0.013,pass,pending,168,0.01,0.01,1.71,Done,-,Done,-,-,Done,Done,81.06
pneuDEEP7562195,DN531997O,D6,08B05821,,97.5,293.8,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B05821,NA,NA,5000,27425_7#69,151,4676166,706101066,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2266804,87,86.4,448.7,276.64,134.89,0.2,NA,88.77,8e-04,0.011,pass,pending,254,0.01,0.01,2.52,Done,-,Done,-,-,Done,Done,93.35
pneuDEEP7562196,DN531997O,E6,08B09954,,97.5,217,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B09954,NA,NA,5000,27644_5#42,151,4358374,658114474,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2340670,85.6,84.7,483.9,253.5,184.98,0.1,NA,86.49,0.0015,0.013,pass,pending,203,0.01,0.01,2.06,Done,-,Done,-,-,Done,Done,95.38
pneuDEEP7562197,DN531997O,F6,09B02868,,97.5,21.3,Not Applicable,Thailand,Maela,Not applicable,NA,2009,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,09B02868,NA,NA,5000,27425_7#71,151,4360918,658498618,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2266807,75.8,75.1,485.6,224.58,112.56,0.1,NA,89.98,9e-04,0.013,pass,pending,9470,0.43,0.49,63.18,Done,-,Done,-,-,Done,Done,80.31
pneuDEEP7562199,DN531997O,H6,09B08361,,97.5,161.2,Not Applicable,Thailand,Maela,Not applicable,NA,2009,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,09B08361,NA,NA,5000,27425_7#73,151,4996086,754408986,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2266810,82.3,81.5,480.3,279.37,128.8,0.1,NA,91.56,8e-04,0.011,pass,pending,8549,0.38,0.43,60.92,Done,-,Done,-,-,Done,Done,91.15
pneuDEEP7562200,DN531997O,A7,09B14086,,97.5,107.8,Not Applicable,Thailand,Maela,Not applicable,NA,2009,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,09B14086,NA,NA,5000,27425_7#75,151,4917130,742486630,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2266813,85,84.2,491,283.99,199.36,0.1,NA,87.29,0.0011,0.012,pass,pending,194,0.01,0.01,1.96,Done,-,Done,-,-,Done,Done,93.8
pneuDEEP7562201,DN531997O,B7,10B01194,,97.5,185.7,Not Applicable,Thailand,Maela,Not applicable,NA,2010,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,10B01194,NA,NA,5000,27644_5#44,151,5040358,761094058,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2340673,71.7,70.9,469.9,245.42,125.65,0.1,NA,86.71,9e-04,0.013,pass,pending,292,0.01,0.02,2.99,Done,-,Done,-,-,Done,Done,79.39
pneuDEEP7562202,DN531997O,C7,08B02230,,97.5,92.7,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B02230,NA,NA,5000,27425_7#77,151,4781022,721934322,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2266816,76,75.3,473,247.1,167.58,0.1,NA,87.19,0.0018,0.011,pass,pending,153,0.01,0.01,1.77,Done,-,Done,-,-,Done,Done,85.94
pneuDEEP7562203,DN531997O,D7,08B06963,,97.5,67.6,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B06963,NA,NA,5000,27425_7#79,151,5135290,775428790,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2266819,77.2,76.6,461.4,269.5,129.99,0.1,NA,94.07,7e-04,0.014,pass,pending,12643,0.57,0.62,75.8,Done,-,Done,-,-,Done,Done,78.12
pneuDEEP7562204,DN531997O,E7,08B10398,,97.5,108.9,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B10398,NA,NA,5000,27644_5#46,151,4532352,684385152,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2340676,82,81.3,451.3,252.54,123.6,0.1,NA,87.08,0.001,0.012,pass,pending,184,0.01,0.01,1.9,Done,-,Done,-,-,Done,Done,90.09
pneuDEEP7562205,DN531997O,F7,09B03133,,97.5,63.9,Not Applicable,Thailand,Maela,Not applicable,NA,2009,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,09B03133,NA,NA,5000,27425_7#81,151,5059048,763916248,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2266822,88.8,88.1,473.1,305.27,145.46,0.1,NA,89.07,8e-04,0.012,pass,pending,234,0.01,0.01,2.27,Done,-,Done,-,-,Done,Done,94.15
pneuDEEP7562206,DN531997O,G7,09B04979,,97.5,148.2,Not Applicable,Thailand,Maela,Not applicable,NA,2009,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,09B04979,NA,NA,5000,27425_7#83,151,5217072,787777872,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2266825,82.7,82,473.1,293.16,165.48,0.1,NA,91.58,9e-04,0.011,pass,pending,9138,0.41,0.46,61.06,Done,-,Done,-,-,Done,Done,91.71
pneuDEEP7562208,DN531997O,A8,08B03629,,97.5,18.6,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B03629,NA,NA,5000,27425_7#87,151,4378004,661078604,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2266831,79.3,78.6,485.8,235.86,114.84,0.1,NA,88.99,9e-04,0.012,pass,pending,171,0.01,0.01,1.71,Done,-,Done,-,-,Done,Done,89.61
pneuDEEP7562209,DN531997O,B8,08B07769,,97.5,283.9,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B07769,NA,NA,5000,27644_5#48,151,4239440,640155440,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2340679,97.8,97.4,468.1,281.88,87,0.1,NA,97.47,6e-04,0.004,pass,pending,21,0,0,6.5,Done,-,Done,-,-,Done,Done,93.47
pneuDEEP7562210,DN531997O,C8,08B02702,,97.5,149.1,Not Applicable,Thailand,Maela,Not applicable,NA,2008,2018,Promega Wizard DNA precipitation,Yes,,Other,-80C,NA,NA,NA,NA,,1313,Streptococcus pneumoniae,,NA,Bacteria cultured from NPS,NA,08B02702,NA,NA,5000,27644_5#50,151,4318124,652036724,QC,Streptococcus_pneumoniae_ATCC_700669_v1,2221315,bwa,2340682,80.4,79.8,479.2,235.98,109.02,0.1,NA,93.08,9e-04,0.013,pass,pending,11811,0.53,0.59,71.64,Done,-,Done,-,-,Done,Done,88.52
